AAA — Анаа, Французская Полинезия, Анаа
AJS — Абреохос, Мексика, Абреохос
AJU — Санта Мария, Бразилия, Аракайю
AJY — Agades, Нигер, Agades
AKA — Анькан, Китай, Анькан
AKB — Atka, США, Atka
AKC — Fulton International, ЮАР, Akron/Canton
AKD — Акола, Индия, Акола
AKE — Акиени, Габон, Акиени
AKF — Куфра, Ливия, Куфра
AKG — Ангуганак, Папуа — Новая Гвинея, Ангуганак
AKH — Prince Sultan Air Base, Саудовская Аравия, Al Kharj
AKI — Akiak, США, Akiak
AKJ — Асахикава, Япония, Асахикава
AKK — Akhiok SPB, США, Akhiok
AKL — Auckland International, Новая Зеландия, Окленд
AKM — Закума, Чад, Закума
AKN — King Salmon, США, King Salmon
AKO — Colorado Plains Regional Airport, США, Akron
AKP — Anaktuvuk, США, Anaktuvuk
AKQ — Gunung Batin, Индонезия, Астраксетра
AKR — Акере, Нигерия, Акере
AKT — Akrotiri Raf, Кипр, Акротири
AKU — Аксу, Китай, Аксу
AKV — Akulivik, Канада, Akulivik
AKW — Aghajari, Иран, Aghajari
AKX — Актюбинск, Казахстан, Актюбинск
AKY — Civil, Мьянма, Sittwe
ALA — Алматы, Казахстан, Алматы
ALB — Олбани международный, США, Олбани
ALC — Alicante El Altet, Испания, Аликанте
ALD — Алерта, Перу, Алерта
ALE — Alpine, США, Alpine
ALF — Альта, Норвегия, Алта
ALG — Houari Boumediene, Алжир, Algiers
ALH — Олбани, Австралия, Олбани
ALI — International, США, Alice
ALJ — Кортдум, ЮАР, Александер-Бей
ALK — Асела, Эфиопия, Асела
ALL — Албенга, Италия, Албенга
ALM — Municipal, США, Аламогордо
ALN — Альтон, США, Alton
ALO — Ватерло, США, Ватерло
ALP — Nejrab, Сирия, Алеппо
ALQ — Federal, Бразилия, Alegrete
ALR — Александра, Новая Зеландия, Александра
ALS — Municipal, США, Аламоса
ALT — Alenquer, Бразилия, Alenquer
ALU — Алула, Сомали, Алула
ALV — Andorra La Vella H/P, Андорра, Андорра-ла-Велла
ALW — Walla Walla, США, Walla Walla
ALX — Thomas C Russell Fld, США, Alexander City
ALY — El Nohza, Египет, Александрия
ALZ — Alitak SPB, США, Alitak
AMA — Rick Husband Amarillo International, США, Amarillo, TX
AMB — Амбилобе, Мадагаскар, Амбилобе
AMC — Am Timan, Чад, Am Timan
AMD — Ахмедабад, Индия, Ахмедабад
AME — Альто-Молокуэ, Мозамбик, Альто-Молокуэ
AMF — Ама, Папуа — Новая Гвинея, Ама
AMG — Amboin, Папуа — Новая Гвинея, Amboin
AMH — Арба-Минч, Эфиопия, Арба-Минч
AMI — Selaparang, Индонезия, Mataram
AMJ — Альменара, Бразилия, Almenara
AMK — Animas Airpark, США, Дуранго
AML — Puerto Armuellas, Панама, Puerto Armuellas
AMM — Queen Alia Intl, Иордания, Амман
AMN — Gratiot Community, США, Alma
AMO — Мао, Чад, Мао
AMP — Ампанихи, Мадагаскар, Ампанихи
AMQ — Pattimura, Индонезия, Амбон
AMR — Арно, Маршалловы острова, Арно
AMS — Amsterdam-Schiphol, Нидерланды, Амстердам
AMT — Амата, Австралия, Amata
AMU — Аманаб, Папуа — Новая Гвинея, Аманаб
AMV — Амдерма, Россия, Амдерма
AMW — Амес, США, Ames
AMX — Ammaroo, Австралия, Ammaroo
AMY — Амбатомаинти, Мадагаскар, Амбатомаинти
AMZ — Ардмор, Новая Зеландия, Ардмор
ANA — Orange County Steel Salvage Heliport, США, Анахайм
ANB — Anniston Metropolitan, США, Anniston
ANC — Ted Stevens Anchorage International Airport, США, Анкораж
AND — Андерсон, США, Anderson
ANE — Marce, Франция, Анжер
ANF — Cerro Moreno, Чили, Антофагаста
ANG — Brie-Champniers, Франция, Ангулем
ANH — Anuha Island Resort, Соломоновы острова, Anuha Island Resort
ANI — Aniak, США, Aniak
ANJ — Занага, Конго, Занага
ANK — Etimesgut, Турция, Анкара
ANL — Андуло, Ангола, Андуло
ANM — Антсирабато, Мадагаскар, Анталаха
ANN — Annette Island, США, Annette Island
ANO — Angoche, Мозамбик, Angoche
ANP — Ли, США, Аннаполис
ANQ — Tri-State Steuben Cty, США, Ангола
ANR — Deurne, Бельгия, Антверпен
ANS — Андауайлас, Перу, Андауайлас
ANT — St Anton, Австрия, St Anton
ANU — V. C. Bird Intl, Антигуа и Барбуда, St. John’s
ANV — Anvik, США, Anvik
ANW — Ainsworth, США, Ainsworth
ANX — Анденес, Норвегия, Анденес
ANY — Anthony, США, Anthony
ANZ — Angus Downs, Австралия, Angus Downs
AOA — Ароа, Папуа — Новая Гвинея, Ароа
AOB — Аннаберг, Папуа — Новая Гвинея, Аннаберг
AOC — Altenburg Nobitz, Германия, Альтенбург
AOD — Абу-Дейя, Чад, Абу-Дейя
AOE — Anadolu University, Турция, Эскишехир
AOG — Аншан, Китай, Аньшань
AOH — Allen County, США, Лима
AOI — Falconara, Италия, Анкона
AOJ — Аомори, Япония, Аомори
AOK — Карпатос, Греция, Карпатос
AOL — Paso De Los Libres, Аргентина, Paso De Los Libres
AON — Арона, Соломоновы острова, Арона
AOO — Мартинсбург, США, Martinsburg
AOR — Алор-Сетар, Малайзия, Алор-Сетар
AOS — Amook, США, Amook
AOT — Corrado Gex, Италия, Аоста
AOU — Аттопью, Лаос, Аттопью
APA — Arapahoe Co, США, Денвер
APB — Аполо, Боливия, Аполо
APC — Napa County, США, Напа
APE — Сан-Хуан-Апосенто, Перу, Сан-Хуан-Апосенто
APF — Неаполь, США, Неаполь
APG — Phillips AAF, США, Aberdeen
APH — Camp A P Hill, США, Bowling Green
API — Апиай, Колумбия, Апиай
APK — Apataki, Французская Полинезия, Apataki
APL — Нампула, Мозамбик, Нампула
APN — Alpena County Regional, США, Alpena
APO — Апартадо, Колумбия, Апартадо
APP — Асапа, Папуа — Новая Гвинея, Асапа
APQ — Arapiraca, Бразилия, Arapiraca
APR — Эйприл-Ривер, Папуа — Новая Гвинея, Эйприл-Ривер
APS — Анаполис, Бразилия, Anapolis
APT — Marion County, США, Джаспер
APU — Apucarana, Бразилия, Apucarana
APV — Эппл Вэлли, США, Эппл Вэлли
APW — Faleolo, Самоа, Apia
APX — Arapongas, Бразилия, Arapongas
APY — Alto Parnaiba, Бразилия, Alto Parnaiba
APZ — Запала, Аргентина, Запала
AQA — Araraquara, Бразилия, Araraquara
AQB — Quiche Airport, Гватемала, Quiche
AQG — Аньцин, Китай, Аньцин
AQI — Кайсумах, Саудовская Аравия, Кайсумах
AQJ — King Hussein Intl, Иордания, Акаба
AQM — Ariquemes, Бразилия, Ariquemes
AQP — Rodriguez Ballon, Перу, Арекуипа
AQS — Сакани, Фиджи, Сакани
AQY — Alyeska, США, Alyeska
ARA — Acadiana Regional, США, New Iberia
ARB — Municipal, США, Ann Arbor, MI
ARC — Arctic Village, США, Arctic Village
ARD — Алор-Айленд, Индонезия, Алор-Айленд
ARE — Arecibo, Пуэрто Рико, Arecibo
ARF — Acaricuara, Колумбия, Acaricuara
ARG — Walnut Ridge, США, Walnut Ridge
ARH — Талаги, Россия, Архангельск
ARI — Chacalluta, Чили, Арика
ARJ — Арсо, Индонезия, Арсо
ARK — Аруша, Танзания, Аруша
ARL — Арли, Буркина-Фасо, Арли
ARM — Армидаль, Австралия, Армидаль
ARN — Arlanda, Швеция, Стокгольм
ARO — Арболетас, Колумбия, Арболетас
ARP — Араджип, Папуа — Новая Гвинея, Араджип
ARQ — Араукита, Колумбия, Араукита
ARR — Альто-Рио-Сенгерр, Аргентина, Альто-Рио-Сенгерр
ARS — Aragarcas, Бразилия, Aragarcas
ART — Watertown, США, Watertown
ARU — Aracatuba, Бразилия, Aracatuba
ARV — Noble F. Lee, США, Minocqua
ARW — Арад, Румыния, Арад
ARX — Asbury Park, США, Neptune, NJ
ARY — Ararat, Австралия, Ararat
ASA — Assab International, Эритрея, Ассаб
ASB — Ashgabat, Туркменистан, Ашхабад
ASC — Аскеншн, Боливия, Аскеншн
ASD — Andros Town, Багамские острова, Andros Town
ASE — Аспен, США, Аспен
ASF — Астрахань, Россия, Астрахань
ASG — Ашбертон, Новая Зеландия, Ашбертон
ASH — Boire Field, США, Nashua, NH
ASI — Wideawake Field, Остров святой Елены, Georgetown, Ascension Island
ASJ — Амами-О-Сима, Япония, Амами-О-Сима
ASK — Yamoussoukro, Кот д’Ивуар, Yamoussoukro
ASL — Harrison County, США, Маршалл
ASM — Yohannes IV, Эритрея, Asmara
ASN — Talladega, США, Талладега
ASO — Асоса, Эфиопия, Асоса
ASP — Элис Спрингз, Австралия, Элис Спрингз
ASQ — Остин, США, Остин
ASR — Erkilet International Airport, Турция, Кайсери
AST — Astoria, США, Astoria
ASU — Silvio Pettirossi, Парагвай, Асунсьон
ASV — Амбосели, Кения, Амбосели
ASW — Асуан, Египет, Асуан
ASX — Эшленд, США, Эшленд
ASY — Ashley, США, Ashley
ASZ — Асирим, Папуа — Новая Гвинея, Асирим
ATA — Анта, Перу, Анта
ATB — Атбара, Судан, Атбара
ATD — Атоифи, Соломоновы острова, Атоифи
ATE — Antlers, США, Antlers
ATF — Chachoan, Эквадор, Амбато
ATG — Attock, Пакистан, Attock
ATH — Eleftherios Venizelos, Греция, Афины
ATI — Артигас, Уругвай, Артигас
ATJ — Анцирабе, Мадагаскар, Анцирабе
ATK — Atqasuk, США, Atqasuk
ATL — Hartsfield-jackson Atlanta International, США, Atlanta, GA
ATM — Альтамира, Бразилия, Altamira
ATN — Наматанай, Папуа — Новая Гвинея, Наматанай
ATO — Ohio University, Греция, Афины
ATP — Airstrip, Папуа — Новая Гвинея, Айтейп
ATQ — Raja Sansi, Индия, Амритсар
ATR — Mouakchott, Мавритания, Атар
ATS — Artesia, США, Artesia
ATT — Atmautluak, США, Atmautluak
ATU — Casco Cove, США, Attu Island
ATV — Ати, Чад, Ати
ATW — Outagamie County, США, Эпплтон
ATX — Атбасар, Казахстан, Атбасар
ATY — Watertown, США, Watertown
ATZ — Асьют, Египет, Асьют
AUA — Reina Beatrix, Аруба, Aruba
AUB — Itauba, Бразилия, Itauba
AUC — Араука, Колумбия, Араука
AUD — Augustus Downs, Австралия, Augustus Downs
AUE — Abu Rudeis, Египет, Abu Rudeis
AUF — Auxerre Branches, Франция, Auxerre
AUG — Augusta, США, Augusta
AUH — Абу-Даби, ОАЭ, Абу-Даби
AUI — Aua Island, Папуа — Новая Гвинея, Aua Island
AUJ — Амбунти, Папуа — Новая Гвинея, Амбунти
AUK — Alakanuk, США, Alakanuk
AUL — Aur Island, Маршалловы острова, Aur Island
AUM — Остин, США, Остин
AUN — Обурн, США, Обурн
AUO — Auburn-Opelika, США, Обурн
AUP — Агаун, Папуа — Новая Гвинея, Агаун
AUQ — Atuona, Французская Полинезия, Atuona
AUR — Орийак, Франция, Орийак
AUT — Атауро, Индонезия, Атауро
AUU — Aurukun Mission, Австралия, Aurukun Mission
AUV — Aumo, Папуа — Новая Гвинея, Aumo
AUW — Municipal, США, Wausau
AUX — Araguaina, Бразилия, Araguaina
AUY — Анейтьюм, Вануату, Анейтьюм
AUZ — Municipal Airport, США, Aurora
AVA — An Shun/Huang Guo Shu, Китай, An Shun
AVB — Авиано, Италия, Aviano
AVF — Авориаз, Франция, Аворьяз
AVG — Овернь, Австралия, Овернь
AVI — Maximo Gomez, Куба, Ciego De Avila
AVK — Arvaikheer, Монголия, Arvaikheer
AVL — Asheville Regional Airport, США, Fletcher
AVN — Avignon-Caum, Франция, Авиньон
AVO — Municipal, США, Avon Park
AVP — Wilkes-Barre/Scranton International Airport, США, Wilkes-Barre/Scranton, PA
AVU — Аву-Аву, Соломоновы острова, Аву-Аву
AVV — Мельбурн-аэропорт Авалон, Австралия, Гелонг
AVW — Avra Valley, США, Туксон
AVX — Avalon Bay, США, Catalina Island
AWA — Авасса, Эфиопия, Авасса
AWB — Аваба, Папуа — Новая Гвинея, Аваба
AWD — Анива, Вануату, Анива
AWE — Алове, Габон, Алове
AWH — Аварех, Эфиопия, Аварех
AWK — Wake Island, Внешние малые острова США, Wake Island
AWM — Municipal, США, West Memphis
AWN — Alton Downs, Австралия, Alton Downs
AWP — Austral Downs, Австралия, Austral Downs
AWR — Авар, Папуа — Новая Гвинея, Авар
AWZ — Ахваз, Иран, Ахваз
AXA — Wallblake, Ангилья, Anguilla
AXB — Александрия Бэй, США, Alexandria Bay
AXC — Aramac, Австралия, Aramac
AXD — Димокритос, Греция, Александрополи
AXE — Xanxere, Бразилия, Xanxere
AXG — Алгона, США, Algona
AXK — Атак, Йемен, Атак
AXL — Александрия, Австралия, Александрия
AXM — El Eden, Колумбия, Армения
AXN — Александрия, США, Александрия
AXP — Springpoint Arpt, Теркс и Кайкос, Spring Point
AXR — Arutua, Французская Полинезия, Arutua
AXS — Municipal, США, Altus
AXT — Акита, Япония, Акита
AXU — Аксум, Эфиопия, Аксум
AXV — Neil Armstrong, США, Wapakoneta
AXX — Angel Fire, США, Angel Fire
AYA — Айапел, Колумбия, Айапел
AYC — Айакучо, Перу, Аякучо
AYD — Alroy Downs, Австралия, Alroy Downs
AYE — AAF Heliport, Гаити, Fort Devens
AYG — Ягуара, Колумбия, Ягуара
AYH — RAF Station, Великобритания, Alconbury
AYI — Яри, Колумбия, Яри
AYK — Аркалык, Казахстан, Аркалык
AYL — Anthony Lagoon, Австралия, Anthony Lagoon
AYN — Аньян, Китай, Аньян
AYO — Ayolas, Уганда, Ayolas
AYP — Yanamilla, Перу, Аякучо
AYQ — Connellan, Австралия, Айерс Рок
AYR — Эйр, Австралия, Эйр
AYS — Ware County, США, Waycross
AYT — Анталия, Турция, Анталия
AYU — Айюра, Папуа — Новая Гвинея, Айюра
AYW — Аяваси, Индонезия, Аяваси
AYZ — Zahns, США, Amityville
AZB — Амазон-Бей, Папуа — Новая Гвинея, Амазон-Бей
AZD — Язд, Иран, Язд
AZG — Апацинган, Мексика, Апацинган
AZI — Батин, ОАЭ, Абу-Даби
AZN — Андижан, Узбекистан, Андижан
AZO — Kalamazoo/Battle Creek Intl, США, Каламазу
AZP — Atizapan, Мексика, Мексико Сити
AZR — Адрар, Алжир, Adrar
AZT — Запатока, Колумбия, Запатока
AZZ — Ambriz, Ангола, Ambriz
BAA — Биалла, Папуа — Новая Гвинея, Биалла
BAB — Beale AFB, США, Marysville
BAC — Barranca De Upia, Колумбия, Barranca De Upia
BAD — Barksdale AFB, США, Шревспорт
BAE — Барселонетта, Франция, Барселонетта
BAF — Barnes, США, Westfield
BAG — Loakan, Филиппины, Багуйо
BAH — Bahrain International, Бахрейн, Manama
BAI — Буэнос-Айрес, Коста-Рика, Буэнос-Айрес
BAJ — о.Бали, Папуа — Новая Гвинея, Бали
BAL — Batman, Турция, Batman
BAM — Lander County, США, Battle Mountain
BAN — Базонго, Демократическая республика Конго, Базонго
BAO — Udorn, Таиланд, Ban Mak Khaen
BAP — Байбара, Папуа — Новая Гвинея, Байбара
BAQ — E Cortissoz, Колумбия, Барранкуилла
BAR — Baker Aaf, США, Бейкер-Айленд, шт. Аляска
BAS — Балале, Соломоновы острова, Балале
BAT — Airport Chafei Amsei, Бразилия, Barretos
BAU — Bauru, Бразилия, Bauru
BAV — Баотоу, Китай, Баотоу
BAW — Биавонке, Габон, Биавонке
BAX — Барнаул, Россия, Барнаул
BAY — Байя Маре, Румыния, Байя Маре
BAZ — Barbelos, Бразилия, Barbelos
BBA — Teniente Vidal, Чили, Балмаседа
BBB — Municipal, США, Benson
BBC — Бэй Сити, США, Бэй Сити
BBD — Curtis Field, США, Brady
BBE — Big Bell, Австралия, Big Bell
BBF — Burlington, США, Burlington
BBG — Бутаритари, Кирибати, Бутаритари
BBH — Барт, Германия, Барт
BBI — Бхубанесвар, Индия, Бхубанесвар
BBJ — Bitburg Air Base, Германия, Битбург
BBK — Касане, Ботсвана, Касане
BBL — Баболсар, Иран, Баболсар
BBM — Баттамбанг, Камбоджа, Баттамбанг
BBN — Bario, Малайзия, Bario
BBO — Бербера, Эфиопия, Бербера
BBP — Bembridge, Великобритания, Bembridge
BBQ — Barbuda, Антигуа и Барбуда, Barbuda
BBR — Baillif, Гваделупа, Basse Terre
BBS — Blackbushe, Великобритания, Yateley
BBT — Берберати, Центральноафриканская Республика, Берберати
BBU — Baneasa, Румыния, Бухарест
BBV — Hkg, Кот д’Ивуар, Bereby
BBW — Broken Bow, США, Broken Bow
BBX — Wings Field, США, Blue Bell
BBY — Бамбари, Центральноафриканская Республика, Бамбари
BBZ — Замбези, Замбия, Замбези
BCA — Баракоа, Куба, Баракоа
BCB — Virginia Tech, США, Blacksburg
BCC — Bear Creek, США, Bear Creek
BCD — Баколод, Филиппины, Баколод
BCE — Bryce, США, Bryce
BCF — Бука, Центральноафриканская Республика, Бука
BCG — Бемичи, Гайана, Бемичи
BCH — Cakung International, Восточный Тимор, Баукау
BCI — Barcaldine, Австралия, Barcaldine
BCJ — Baca Grande, США, Baca Grande
BCK — Bolwarra, Австралия, Bolwarra
BCL — Барра-Колорадо, Коста-Рика, Барра-Колорадо
BCM — Бакау, Румыния, Бакэу
BCN — El Prat De Llobregat, Испания, Барселона
BCO — Jinka, Эфиопия, Jinka
BCP — Bambu, Эфиопия, Bambu
BCQ — Вейл-Игл, шт. Колорадо, Намибия, Вейл-Игл, шт. Колорадо
