AAA — Анаа, Французская Полинезия, Анаа
OIC — Eaton, США, Норвич
OIL — Splane Memorial, США, Oil City, PA
OIM — Oshima, Япония, Oshima
OIR — Окусири, Япония, Окусири
OIT — Оита, Япония, Оита
OJC — Johnson Executive, США, Канзас Сити
OKA — Naha, Япония, Окинава
OKB — Фрейзер Айленд, Австралия, Орхид-Бич
OKC — Will Rogers World Airport, США, Оклахома Сити
OKD — Okadama, Япония, Саппоро
OKE — Окино-Эрабу, Япония, Окино-Эрабу
OKF — Окаукуйэхо, Намибия, Окаукуйэхо
OKG — Окойо, Конго, Окойо
OKH — Cottesmor RAF, Великобритания, Oakham
OKI — Оки-Айленд, Япония, Оки-Айленд
OKJ — Окаяма, Япония, Окаяма
OKK — Kokomo, США, Kokomo
OKL — Оксибил, Индонезия, Оксибил
OKM — Okmulgee, США, Okmulgee
OKN — Оконджа, Габон, Оконджа
OKO — Yokota Afb, Япония, Токио
OKP — Оксапмин, Папуа — Новая Гвинея, Оксапмин
OKQ — Окаба, Индонезия, Окаба
OKR — Yorke Island, Австралия, Yorke Island
OKS — Oshkosh, США, Oshkosh
OKT — Октябрьский, Россия, Октябрьский
OKU — Mokuti Lodge, Намибия, Mokuti Lodge
OKV — Okao, Индонезия, Okao
OKY — Oakey, Австралия, Oakey
OLA — Орланд, Норвегия, Орланд
OLB — Costa Smeralda, Италия, Olbia
OLD — Old Town, США, Old Town
OLE — Municipal, США, Olean
OLF — International, США, Wolf Point
OLH — Old Harbor SPB, США, Old Harbor
OLI — Rif, Исландия, Олафсвик
OLJ — Олпой, Вануату, Олпой
OLK — Fuerte Olimpo, Парагвай, Fuerte Olimpo
OLM — Олимпия, США, Олимпия
OLN — Colonia Sarmiento, Аргентина, Colonia Sarmiento
OLO — Оломоуц, Чехия, Оломоуц
OLP — Olympic Dam, Австралия, Olympic Dam
OLQ — Олсобип, Папуа — Новая Гвинея, Олсобип
OLS — International, США, Ногалес
OLU — Columbus Municipal, США, Columbus, NE
OLV — Olive Branch Arpt, США, Olive Branch
OLY — Olney-Noble, США, Olney
OMA — Eppley Airfield, США, Омаха
OMB — Омбуэ, Габон, Омбуэ
OMC — Ормок, Филиппины, Ормок
OMD — Ораньемунд, Намибия, Ораньемунд
OME — Nome, США, Nome
OMF — King Hussein, Иордания, Mafraq
OMG — Омега, Намибия, Омега
OMH — Урмиех, Иран, Урмиех
OMI — Omidieh, Иран, Omidieh
OMJ — Омура, Япония, Омура
OMK — Municipal, США, Omak
OML — Омкалай, Папуа — Новая Гвинея, Омкалай
OMM — Мармул, Оман, Мармул
OMN — Османабад, Индия, Османабад
OMO — Мостар, Босния и Герцеговина, Мостар
OMR — Орадеа, Румыния, Орадя
OMS — Омск, Россия, Омск
OMY — Oddor Meanche, Камбоджа, Oddor Meanche
ONA — Municipal, США, Winona
ONB — Ононге, Папуа — Новая Гвинея, Ононге
OND — Ондангва, Намибия, Ондангва
ONE — Onepusu, Соломоновы острова, Onepusu
ONG — Mornington, Австралия, Mornington
ONH — Municipal, США, Oneonta
ONI — Моанамани, Индонезия, Моанамани
ONJ — Odate Noshiro, Япония, Odate Noshiro
ONL — Municipal, США, Oneill
ONM — Socorro, США, Socorro
ONN — Onion Bay, США, Onion Bay
ONO — Ontario Municipal Airport, США, Ontario
ONP — Newport, США, Newport
ONQ — Зонгулдаг, Турция, Зонгулдаг
ONR — Monkira, Австралия, Monkira
ONS — Onslow, Австралия, Onslow
ONT — Ontario International, США, Ontario
ONU — Оно-И-Лау, Фиджи, Оно-И-Лау
ONX — Enrique Adolfo Jimenez, Панама, Колон
ONY — Olney, США, Olney
OOA — Municipal, США, Oskaloosa
OOK — Toksook Bay, США, Toksook Bay
OOL — Coolangatta/Gold Coast, Австралия, Coolangatta/Gold Coast
OOM — Коома, Австралия, Коома
OOR — Mooraberree, Австралия, Mooraberree
OOT — Онотоа, Кирибати, Онотоа
OPA — Копаскер, Исландия, Копаскер
OPB — Опен-Бей, Папуа — Новая Гвинея, Опен-Бей
OPF — Opa Locka, США, Майами
OPI — Oenpelli, Австралия, Oenpelli
OPL — St Landry Parish, США, Opelousas
OPO — Francisco Sб Carneiro, Португалия, Порто
OPS — Синоп, Бразилия, Синоп
OPU — Балимо, Папуа — Новая Гвинея, Балимо
OPW — Опува, Намибия, Опува
ORA — Оран, Аргентина, Оран
ORB — Orebro-bofors, Швеция, Оребро
ORC — Ороке, Колумбия, Ороке
ORD — Chicago O’hare International, США, Chicago, Il
ORE — Орлеан, Франция, Орлеан
ORF — Norfolk International Airport, США, Norfolk
ORG — Zorg En Hoop, Суринам, Paramaribo
ORH — Worcester Regional Airport, США, Worcester
ORI — Port Lions SPB, США, Port Lions
ORJ — Ориндук, Бразилия, Ориндук
ORK — Корк, Ирландия, Корк
ORL — Orlando Executive, США, Орландо
ORM — Northampton, Великобритания, Northampton
ORN — Es Senia, Алжир, Оран
ORO — Йоро, Гондурас, Йоро
ORP — Орапа, Ботсвана, Орапа
ORQ — Heliport, США, Norwalk
ORR — Yorketown, Австралия, Yorketown
ORS — Waterport, Австралия, Orpheus Island Resort
ORT — Northway, США, Northway
ORU — Оруро, Боливия, Оруро
ORV — Curtis Memorial, США, Noorvik
ORW — Ормара, Пакистан, Ормара
ORX — Oriximina, Бразилия, Oriximina
ORY — Orly, Франция, Париж
ORZ — Ориндж-Уолк, Белиз, Ориндж-Уолк
OSB — Osage Beach, США, Osage Beach
OSC — Wurtsmith AFB, США, Oscoda
OSD — Froesoe, Швеция, Остерсанд
OSE — Омора, Папуа — Новая Гвинея, Омора
OSG — Ossima, Папуа — Новая Гвинея, Ossima
OSH — Wittman Field, США, Oshkosh
OSI — Осиек, Хорватия, Осиек
OSK — Оскархамн, Швеция, Оскархамн
OSL — Oslo Airport, Gardermoen, Норвегия, Осло
OSM — Мосул, Ирак, Мосул
OSN — Osan AB, Южная Корея, Osan
OSP — Redzikowo, Польша, Слупск
OSR — Mosnov, Чехия, Острава
OSS — Ош, Кыргызстан, Ош
OST — Ostend/Bruges International Airport, Бельгия, Ostend
OSU — Ohio State University, США, Columbus
OSW — Орск, Россия, Орск
OSX — Attala County, США, Kosciusko
OSY — Намсус, Норвегия, Намсус
OSZ — Кошалин, Польша, Кошалин
OTA — Mota, Эфиопия, Mota
OTC — Бол, Чад, Бол
OTD — Контадора, Панама, Контадора
OTG — Worthington, США, Worthington
OTH — North Bend, США, North Bend
OTI — Моротаи-Айленд, Индонезия, Pitu, Morotai Island
OTJ — Отьиваронго, Намибия, Отьиваронго
OTL — Бутилимит, Мавритания, Бутилимит
OTM — Industrial, США, Ottumwa
OTN — Green, США, Oaktown
OTO — Vor, США, Otto
OTP — Henri Coanda International, Румыния, Бухарест
OTR — Кото-47, Коста-Рика, Кото-47
OTS — Anacortes, США, Anacortes
OTU — Оту, Колумбия, Оту
OTV — Ontong Java, Соломоновы острова, Ontong Java
OTY — Ориа, Папуа — Новая Гвинея, Ориа
OTZ — Kotzebue, США, Kotzebue
OUA — Уагадугу, Буркина-Фасо, Уагадугу
OUD — Les Angades, Марокко, Уджда
OUE — Уэссо, Конго, Уэссо
OUG — Уахигоуя, Буркина-Фасо, Уахигоуя
OUH — Оудсхорн, ЮАР, Оудсхорн
OUI — Ban Houei, Лаос, Ban Houei
OUK — Outer Skerries, Великобритания, Outer Skerries
OUL — Оулу, Финляндия, Оулу
OUM — Oum Hadjer, Чад, Oum Hadjer
OUN — Max Westheimer, США, Norman
OUR — Батури, Камерун, Батури
OUS — Ourinhos, Бразилия, Ourinhos
OUT — Буссо, Чад, Буссо
OUU — Ouanga, Габон, Ouanga
OUZ — Зурате, Мавритания, Зурате
OVA — Бекили, Мадагаскар, Бекили
OVB — Толмачево, Россия, Новосибирск
OVD — Астурия, Испания, Oviedo/Aviles
OVE — Oroville, США, Oroville
OVG — Overberg (FAOB), Бельгия, Overberg
OVL — Овайе, Чили, Овайе
OVR — Olavarria, Аргентина, Olavarria
OWA — Owatonna, США, Owatonna
OWB — Daviess County, США, Owensboro
OWD — Memorial, США, Norwood
OWE — Овендо, Габон, Овендо
OWK — Central Maine Airport of Norridgewock, США, Norridgewock
OXB — Osvaldo Vieira International, Гвинея-Бисау, Bissau
OXC — Waterbury-oxford, США, Oxford, CT
OXD — Miami University, Канада, Oxford
OXF — Oxford (Kidlington), Великобритания, Оксфорд
OXO — Orientos, Австралия, Orientos
OXR — Вентура, США, Вентура
OXY — Morney, Австралия, Morney
OYA — Гоя, Аргентина, Гоя
OYE — Оем, Габон, Оем
OYG — Мойо, Уганда, Мойо
OYK — Oiapoque, Бразилия, Oiapoque
OYL — Мояль, Эфиопия, Мояль
OYN — Ouyen, Австралия, Ouyen
OYO — Трес-Арройос, Аргентина, Трес-Арройос
OYP — St-Georges de lOyapock, Французская Гвиана, St Georges de lOyapock
OYS — Yosemite Ntl Park, США, Yosemite Ntl Park
OZA — Ozona Municipal, США, Ozona
OZC — Labo, Филиппины, Озамис-Сити
OZH — Запорожье, Украина, Запорожье
OZI — Bobadilla, Сальвадор, Bobadilla
OZP — Moron, Испания, Moron
OZR — Cairns AAF, США, Ozark
OZU — Montilla, Панама, Montilla
OZZ — Уарзазат, Марокко, Уазазат
PAA — Pa-an, Мьянма, Pa-an
PAB — Биласпур, Индия, Биласпур
PAC — Paitilla-Marcos A. Gelabert, Панама, Панама Сити
PAD — Paderborn/lippstadt, Германия, Paderborn
PAE — Snohomish County, США, Эверетт
PAF — Пакуба, Уганда, Пакуба
PAG — Пагадиан, Филиппины, Пагадиан
PAH — Barkley Regional, США, Paducah, KY
PAI — Пайлинь, Камбоджа, Пайлинь
PAJ — Пара-Чинар, Пакистан, Пара-Чинар
PAK — Port Allen, США, Hanapepe
PAL — Паланкеро, Колумбия, Паланкеро
PAM — Tyndall AFB, Панама, Панама Сити
PAN — Паттани, Таиланд, Паттани
PAO — Пало Альто, США, Пало Альто
PAP — Toussaint Louverture International, Гаити, Port Au Prince
PAQ — Municipal, США, Palmer
PAS — Парос, Греция, Парос
PAT — Патна, Индия, Патна
PAU — Паук, Мьянма, Паук
PAV — Paulo Afonso, Бразилия, Paulo Afonso
PAW — Памбва, Папуа — Новая Гвинея, Памбва
PAX — Port De Paix, Гаити, Port De Paix
PAY — Pamol, Малайзия, Pamol
PAZ — Tajin, Мексика, Поса-Рика
PBA — Point Barrow, США, Barrow
PBB — Paranaiba, Бразилия, Paranaiba
PBC — Hermanos Serdan International, Мексика, Puebla Atlixco
PBD — Порбандар, Индия, Порбандар
PBE — Пуэрто-Беррио, Колумбия, Пуэрто-Беррио
PBF — Grider Field, США, Pine Bluff
PBG — Plattsburgh International, США, Plattsburgh
PBH — Паро, Бутан, Паро
PBI — Palm Beach International, США, Уест Палм Бич
PBJ — Паама, Новая Каледония, Паама
PBK — Pack Creek, США, Pack Creek
PBL — Puerto Cabello, Венесуэла, Puerto Cabello
PBM — Zanderij Intl, Суринам, Paramaribo
PBN — Порту-Амбоим, Ангола, Порту-Амбоим
PBO — Paraburdoo, Австралия, Paraburdoo
PBP — Punta Islita, Коста-Рика, Punta Islita
PBQ — Pimenta Bueno, Бразилия, Pimenta Bueno
PBR — Пуэрто Барриос, Гватемала, Пуэрто Барриос
PBS — Патонг-Бич, Таиланд, Патонг-Бич
PBT — Puerto Leda, Парагвай, Puerto Leda
PBU — Путао, Мьянма, Путао
PBV — Porto Dos Gauchos, Бразилия, Porto Dos Gauchos
PBW — Палибело, Гана, Палибело
PBX — Porto Alegre Do Norte, Бразилия, Porto Alegre Do Norte
PBY — Hamilton/Proserpine, Австралия, Peppers Palm Bay
PBZ — Плеттенберг Бей, ЮАР, Плеттенберг-Бей
PCA — Portage Creek, США, Portage Creek
PCB — Пондок-Кабе, Индонезия, Джакарта
PCC — Пуэрто Рико, Колумбия, Пуэрто Рико
PCD — Municipal, США, Prairie Du Chien
PCE — Painter Creek, США, Painter Creek
PCG — Пасо-Кабаллос, Гватемала, Пасо-Кабаллос
PCH — Палачос, Гондурас, Палачос
PCJ — Puerto La Victoria, Парагвай, Puerto La Victoria
PCK — Porcupine Creek, США, Porcupine Creek
PCL — Captain Rolden International Airport, Перу, Пукальпа
PCM — Playa Del Carmen, Мексика, Playa Del Carmen
PCN — Koromiko, Новая Зеландия, Пиктон
PCO — Пунта-Колораде, Мексика, Пунта-Колораде
PCP — Principe, Сан-Томе и Принсипи, Principe
PCQ — Bounneua, Лаос, Phongsaly
PCR — Пуэрто-Каррено, Колумбия, Пуэрто-Каррено
PCS — Picos, Бразилия, Picos
PCT — Princeton, США, Princeton
PCU — Pearl River County, США, Picayune
PCV — Пунта-Шивато, Мексика, Пунта-Шивато
PDA — Пуэрто-Инирида, Колумбия, Пуэрто-Инирида
PDB — Pedro Bay, США, Pedro Bay
PDC — Муэо, Новая Каледония, Муэо
PDD — Ponta de Ouro, Мозамбик, Ponta de Ouro
PDE — Pandie Pandie, Австралия, Pandie Pandie
PDF — Prado, Бразилия, Прадо
PDG — Minangkabau International Airport, Индонезия, Паданг
PDI — Пиндиу, Папуа — Новая Гвинея, Пиндиу
PDK — Dekalb-Peachtree, США, Atlanta, GA
PDL — Nordela, Португалия, Ponta Delgada
PDN — Parndana, Австралия, Parndana
PDO — Пендопо, Индонезия, Пендопо
PDP — Capitan Corbeta CA Curbelo International Airport, Уругвай, Maldonado
PDR — Municipal, Эфиопия, Президенти-Дутра
PDS — Пьедрас-Неграс, Мексика, Пьедрас-Неграс
PDT — Pendleton, США, Pendleton
PDU — Пайсанду, Уругвай, Пайсанду
PDV — Пловдив, Болгария, Пловдив
PDX — Portland International, США, Portland, Or
PDZ — Педерналес, Венесуэла, Педерналес
PEA — Penneshaw, Австралия, Penneshaw
PEB — Пебане, Мозамбик, Пебане
PEC — Pelican SPB, США, Pelican
PED — Пардубицы, Чехия, Пардубицы
PEE — Большое Савино, Россия, Пермь
PEF — Peenemuende, Германия, Peenemuende
PEG — Sant Egidio, Италия, Перужия
PEH — Pehuajo, Аргентина, Pehuajo
PEI — Matecana, Колумбия, Pereira
PEJ — Peschiei, Италия, Peschiei
PEK — Beijing Capital Int., Китай, Пекин
PEL — Пеланенг, Лесото, Пеланенг
PEM — Пуэрто Мальдонадо, Перу, Пуэрто Мальдонадо
PEN — Penang International, Малайзия, Пенанг
PEP — Peppimenarti, Австралия, Peppimenarti
PEQ — Pecos City, США, Pecos City
PER — Perth International, Австралия, Перт
PES — Петрозаводск, Россия, Петрозаводск
PET — Federal, Бразилия, Pelotas
PEU — Puerto Lempira, Гондурас, Puerto Lempira
PEW — Пешавар, Пакистан, Пешавар
PEX — Печора, Россия, Печора
PEY — Penong, Австралия, Penong
PEZ — Пенза, Россия, Пенза
PFA — Paf Warren, США, Paf Warren
PFB — Passo Fundo, Бразилия, Passo Fundo
PFC — Pacific City State, США, Pacific City, OH
PFD — Port Frederick, США, Port Frederick
PFJ — Патрексфьордур, Исландия, Патрексфьордур
PFN — Bay County, США, Панама Сити
PFO — International, Кипр, Пафос
PFQ — Parsabad, Иран, Parsabad
PFR — Илебо, Демократическая республика Конго, Илебо
PGA — Паг, США, Паг
PGB — Пангоа, Папуа — Новая Гвинея, Пангоа
PGC — Grant County, США, Петерсбург
PGD — Charlotte County, США, Пунта-Горда
PGE — Егепа, Папуа — Новая Гвинея, Егепа
PGF — Llabanere, Франция, Перпиньян
PGG — Прогрессо, Бразилия, Сао Паоло
PGH — Пантнагар, Индия, Пантнагар
PGI — Chitato, Ангола, Chitato
PGK — Пангкалпинанг, Индонезия, Пангкалпинанг
PGL — Jackson County, США, Pascagoula
PGM — Port Graham, США, Port Graham
PGN — Пангиа, Папуа — Новая Гвинея, Пангиа
PGO — Stevens Field, Китай, Пагоса Спрингз
PGP — Порто Алегре, Сан-Томе и Принсипи, Порто Алегре
PGR — Municipal, США, Paragould
PGS — Peach Springs, США, Peach Springs
PGV — Pitt-Greenville, США, Greenville
PGX — Bassillac, Франция, Периге
PHA — Пхань-Ранг, Вьетнам, Пхань-Ранг
PHB — Santos Dumont, Бразилия, Parnaiba
PHC — Port Harcourt, Нигерия, Port Harcourt
PHD — Harry Clever, США, New Philadelphia
PHE — Port Hedland, Австралия, Port Hedland
PHF — Newport News/williamsb, США, Newport News
PHG — Port Harcourt City, Нигерия, Port Harcourt
PHH — Фан Тиет, Вьетнам, Пхань-Тхиет
PHI — Pinheiro, Бразилия, Pinheiro
PHJ — Port Hunter, Австралия, Port Hunter
PHK — Palm Beach Co Glades, США, Pahokee
PHL — Philadelphia International, США, Филадельфия
PHM — Беблинген, Германия, Беблинген
PHN — St Clair County Intl, США, Port Huron
PHO — Point Hope, США, Point Hope
PHP — Philip, США, Philip
PHR — Pacific Harbor, Фиджи, Pacific Harbor
PHS — Пхитсанулок, Таиланд, Пхитсанусок
PHT — Henry County, США, Париж
PHU — Пху-Винх, Вьетнам, Пху-Винх
PHW — Кейптаун, ЮАР, Фалаборва
PHX — Sky Harbor Intl, США, Феникс
PHY — Пхетчабун, Таиланд, Пхетчабун
PHZ — Остров Пхи Пхи, Таиланд, Остров Пхи Пхи
PIA — Greater Peoria, США, Peoria, IL
PIB — Hattiesburg-Laurel Regional, США, Hattiesburg/Laurel, MS
PIC — Пайн-Кей, Теркс и Кайкос, Пайн-Кей
PID — Paradise Island, Багамские острова, Nassau
PIE — St. Petersburg-Clearwater International, США, Клируотер
PIF — Pingtung, Китай, Pingtung
PIG — Питинга, Бразилия, Питинга
PIH — Pocatello, США, Pocatello
PII — Phillips Field, США, Fairbanks
PIK — Prestwick, Великобритания, Prestwick, South Ayrshire
PIL — Пилар, Парагвай, Пилар
PIM — Garden Harris County, США, Pine Mountain
PIN — Parintins, Бразилия, Parintins
PIO — Писко, Перу, Писко
PIP — Pilot Point, США, Pilot Point
PIQ — Пипиллипаи, Гайана, Пипиллипаи
PIR — Pierre, США, Pierre
PIS — Biard, Франция, Пуатье
PIU — Пиуро, Перу, Пиуро
PIV — Pirapora, Бразилия, Pirapora
PIW — Pikwitonei, Канада, Pikwitonei
PIX — Pico Island, Португалия, Pico Island
PIZ — Пойнт-Лей LRRS, США, Point Lay
PJA — Pajala, Финляндия, Pajala
PJB — Payson, США, Payson
PJC — Педро-Хуан-Кабальеро, Парагвай, Педро-Хуан-Кабальеро
PJG — Панджгур, Пакистан, Панджгур
PJM — Пуэрто-Хименес, Коста-Рика, Пуэрто-Хименес
PJS — Port San Juan, США, Port San Juan
PJZ — Пуэрто Ваярта, Мексика, Пуэрто-Хуарес
PKA — SPB, США, Napaskiak
PKB — Wood County, США, Паркерсбург
PKC — Елизово, Россия, Петропавловск-Камчатский
PKD — Park Rapids, США, Park Rapids
PKE — Паркес, Австралия, Паркес
PKF — Park Falls, США, Park Falls
PKG — Pangkor Airport, Малайзия, Pangkor
PKH — Alexion, Греция, Porto Kheli
PKJ — Playa Grande, Гватемала, Плайа Гранде
PKK — Пакокку, Мьянма, Пакокку
PKL — Пакатоа-Айленд, Новая Зеландия, Пакатоа-Айленд
PKM — Порт-Каитума, Гайана, Порт-Каитума
PKN — Пангкаланбуун, Индонезия, Пангкаланбуун
PKO — Параку, Бенин, Параку
PKP — Puka Puka, Французская Полинезия, Puka Puka
PKR — Покхара, Непал, Покхара
PKS — Паксан, Таиланд, Паксан
PKT — Port Keats, Австралия, Port Keats
PKU — Sultan Syarif Kasim Ii, Индонезия, Пеканбару
PKV — Псков, Россия, Псков
PKW — Selebi-Phikwe, Ботсвана, Selebi-Phikwe
PKY — Palangkaraya, Индонезия, Palangkaraya
PKZ — Паксе, Лаос, Паксе
PLA — Планадас, Колумбия, Планадас
PLB — Clinton County, США, Plattsburgh
PLC — Планета-Рико, Колумбия, Планета-Рико
PLD — Плая-Самара, Коста-Рика, Плайя Самара
PLE — Пайела, Папуа — Новая Гвинея, Пайела
PLF — Пала, Чад, Пала
PLG — Ла Плань, Франция, Ла-Планье
PLH — Plymouth, Великобритания, Plymouth
PLI — Палм Айленд, Сент-Винсент и Гренадины, Пам-Айленд
PLJ — Placencia, Белиз, Placencia
PLK — M Graham Clark, США, Branson/point Lookout
PLL — Ponta Pelada, Бразилия, Ponta Pelada
PLM — Mahmud Badaruddin Ii, Индонезия, Палембанг
PLN — Emmet County, США, Pellston
PLO — Port Lincoln, Австралия, Port Lincoln
PLP — Ля Пальма, Панама, Ля Пальма
PLQ — Palanga International, Литва, Klaipeda/Palanga
PLR — St Clair County, США, Pell City
PLS — International, Теркс и Кайкос, Providenciales
PLT — Плато, Колумбия, Плато
PLU — Pampulha, Бразилия, Бело Хоризонте
PLV — Полтава, Украина, Полтава
PLW — Mutiara, Индонезия, Palu
PLX — Семипалатинск, Казахстан, Семипалатинск
PLY — Plymouth, США, Plymouth
PLZ — Порт Элизабет, ЮАР, Порт Элизабет
PMA — Wawi, Танзания, Pemba
PMB — Intermediate, США, Pembina
PMC — Tepual, Чили, Пуэрто Монт
PMD — La Palmdale Regional Airport, США, Palmdale, Ca
PME — Portsmouth, Великобритания, Портсмут
PMF — Giuseppe Verdi, Италия, Парма
PMG — International, Бразилия, Ponta Pora
PMH — Greater Portsmouth Regional, США, Портсмут
PMI — Son Sant Joan Airport, Испания, Palma Mallorca
PMK — Палм Айленд, Австралия, Пам-Айленд
PML — AFS, США, Port Moller
PMM — Пханом-Саракхам, Таиланд, Пханом-Саракхам
PMN — Пумани, Папуа — Новая Гвинея, Пумани
PMO — Punta Raisi, Италия, Палермо
PMP — Пимага, Папуа — Новая Гвинея, Пимага
PMQ — Перито-Морено, Аргентина, Перито-Морено
PMR — Палмерстон Норт, Новая Зеландия, Палмерстон Норт
PMS — Пальмира, Сирия, Пальмира
PMT — Paramakotoi, Гайана, Paramakotoi
PMU — SPB, США, Paimiut
PMV — Del Caribe International (Gen. Santiago Marino), Венесуэла, Porlamar
PMW — Palmas, Бразилия, Palmas
PMX — Metropolitan, США, Palmer
PMY — El Tehuelche, Аргентина, Puerto Madryn
PMZ — Palmar Sur, Коста-Рика, Палмар
PNA — Памплона, Испания, Памплона
PNB — Porto Nacional, Бразилия, Porto Nacional
PNC — Ponca City, США, Ponca City
PND — Пунта-Горда, Белиз, Пунта-Горда
PNE — North Philadelphia, США, Филадельфия
PNG — Municipal, Бразилия, Paranagua
PNH — Phnom Penh International, Камбоджа, Пном Пен
PNI — Понпеи, Микронезия, Понпеи
PNJ — Peng Lai/Sha He Kou, Китай, Peng Lai
PNK — Supadio, Индонезия, Понтианак
PNL — Pantelleria, Италия, Pantelleria
PNN — Princeton, США, Princeton
PNO — Pinotepa Nacional, Мексика, Pinotepa Nacional
PNP — Girua, Папуа — Новая Гвинея, Попондетта
PNQ — Lohegaon, Индия, Пуне
PNR — Пуэнт-Нуар, Конго, Пуэнт-Нуар
PNS — Regional, США, Pensacola
PNT — Teniente J. Gallardo, Чили, Пуэрто Наталес
PNU — Panguitch, США, Panguitch
PNV — Panevezys, Литва, Panevezys
PNX — Grayson County, США, Sherman-Denison
PNY — Пондичерри, Индия, Пондичерри
PNZ — Internacional, Бразилия, Petrolina
POA — Salgado Filho, Бразилия, Порто Алегре
POB — Pope AFB, США, Fayetteville, NC
POC — Brackett Field, США, La Verne
POD — Подор, Сенегал, Подор
POE — Polk AAF, США, Fort Polk
POF — Earl Fields Memorial, США, Poplar Bluff
POG — Порт-Гентил, Габон, Порт-Гентил
POH — Municipal, США, Pocahontas
POI — Потоси, Боливия, Потоси
POJ — Patos De Minas, Албания, Patos De Minas
POL — Porto Amelia, Мозамбик, Pemba
POM — Jackson Fld, Папуа — Новая Гвинея, Порт-Морсби
PON — Поптун, Гватемала, Поптун
POO — Pocos De Caldas, Бразилия, Pocos De Caldas
POP — Ла-Унион, Доминиканская Республика, Пуэрто Плата
POQ — Polk Inlet, США, Polk Inlet
POR — Пори, Финляндия, Пори
POS — Piarco International, Тринидад и Тобаго, Port Of Spain
POT — Ken Jones, Ямайка, Порт-Антонио
POU — Dutchess County, США, Poughkeepsie
POV — Presov, Словакия, Presov
POW — Порторож, Словения, Порторос
POX — Paris Cergy Pontoise, Франция, Париж
POY — Powell, США, Powell
POZ — Lawica, Польша, Познан
PPA — Perry Lefors Field, США, Pampa
PPB — Adhemar De Barros, Бразилия, Presidente Prudente
PPC — Prospect Creek, США, Prospect Creek
PPD — Palmas Del Mar, Пуэрто Рико, Humacao
PPE — Пуэрто-Пенаско, Мексика, Пуэрто-Пенаско
PPF — Tri-City, США, Parsons
PPG — International, Американское Самоа, Pago Pago
PPH — Peraitepuy, Венесуэла, Peraitepuy
PPI — Port Pirie, Австралия, Port Pirie
PPJ — Pulau Panjang, Индонезия, Pulau Panjang
PPK — Петропавловск, Казахстан, Петропавловск
PPL — Пхалпу, Непал, Пхалпу
PPM — Pompano Beach, США, Pompano Beach
PPN — Machangara, Колумбия, Попайан
PPO — Пауэлл-Пойнт, Багамские острова, Пауэлл-Пойнт
PPP — Whitsunday Coast, Австралия, Proserpine
PPQ — Парапарауму, Новая Зеландия, Парапарауму
PPR — Пасир-Пангараян, Индонезия, Пасир-Пангараян
PPS — Puerto Princesa, Филиппины, Puerto Princesa
PPT — Faa’a, Французская Полинезия, Papeete
PPU — Папун, Мьянма, Папун
PPV — Port Protection, США, Port Protection
PPW — Папа-Вестрей, Великобритания, Папа-Вестрей
PPX — Param, Папуа — Новая Гвинея, Param
PPY — Pouso Alegre, Бразилия, Pouso Alegre
PPZ — Пуэрто-Пец, Венесуэла, Пуэрто-Пец
PQC — Duong Dong, Вьетнам, Пху-Квок
PQI — Municipal, США, Presque Isle
PQM — Паленк, Мексика, Паленке
PQQ — Порт Макгуайр, Австралия, Порт Макгуайр
PQS — Pilot Station, США, Pilot Station
PQT — Heliport, Гренландия, Qeqertaq
PRA — Parana, Аргентина, Parana
PRB — Paso Robles, США, Paso Robles
PRC — Prescott, США, Prescott
PRD — Pardoo, Австралия, Pardoo
PRE — Поре, Колумбия, Поре
PRF — Port Johnson, США, Port Johnson
PRG — Ruzyne, Чехия, Прага
PRH — Пхраэ, Таиланд, Пхраэ
PRI — Праслин-Айленд, Сейшельские о-ва, Праслин-Айленд
PRJ — Капри, Италия, Капри
PRK — Prieska, ЮАР, Prieska
PRL — Port Oceanic, США, Port Oceanic
PRM — Портиман, Португалия, Портиман
PRN — Prishtina International Airport, Сербия, Prishtina
PRO — Municipal, Гаити, Perry
PRP — Проприано, Франция, Проприано
PRQ — Pres. Roque Saenz Pena, Аргентина, Pres. Roque Saenz Pena
PRR — Парума, Гайана, Парума
PRS — Параси, Соломоновы острова, Параси
PRT — Coast Guard Heliport, США, Point Retreat
PRU — Проме, Мьянма, Проме
PRV — Пршеров, Чехия, Пршеров
PRW — Prentice, США, Prentice
PRX — Cox Field, США, Париж
PRY — Wonderboom Apt., ЮАР, Претория
PRZ — Prineville, США, Prineville
PSA — Galileo Galilei, Италия, Пиза
PSB — Bellefonte, США, Bellefonte
PSC — Tri-cities, США, Pasco, WA
PSD — Порт-Саид, Египет, Порт-Саид
PSE — Mercedita, Пуэрто Рико, Ponce
PSF — Pittsfield, США, Pittsfield
PSG — Petersburg James A Johnson, США, Petersburg, AK
PSH — St Peter, Германия, St Peter
PSI — Пасни, Пакистан, Пасни
PSJ — Посо, Индонезия, Посо
PSK — New River Valley, США, Дублин
PSL — Перт, Великобритания, Перт
PSN — Palestine Municipal Airport, США, Palestine, TX
PSO — Cano, Колумбия, Пасто
PSP — Municipal, США, Палм Спрингс
PSQ — SPB, Египет, Филадельфия
PSR — Liberi, Италия, Пескара
PSS — Посадас, Аргентина, Посадас
PST — Престон, Куба, Престон
PSU — Putussibau, Индонезия, Putussibau
PSV — Papa Stour, Великобритания, Papa Stour
PSW — Пассос, Бразилия, Пассос
PSX — Палачос, США, Палачос
PSY — Port Stanley, Фоклендские острова, Port Stanley
